949,Analyze That,Cathe Rubinfajn,747836482-9
950,Barefoot (Barfuss),Gwendolen Gorham,733435462-1
951,"Guyver, The",Octavia Batts,630220271-X
952,Indian Summer,Raf Windram,064456182-3
953,The Sex and Violence Family Hour,Gussie Ornells,457939249-3
954,Mezzo Forte,Shawna Emms,286668268-8
955,"Sentinel, The",Minny Bridgement,164604228-X
956,"Marquise of O, The (Marquise von O..., Die)",Huntlee Brocklesby,254075946-7
957,Meetin' WA,Anet Coaster,650640677-1
958,Burning Palms,Myca Tyre,729001720-X
959,El Lobo,Corty Cramer,604227037-0
960,We Live Again,Clarabelle Hallybone,595369768-6
961,"Hitchhiker's Guide to the Galaxy, The",Cos Bonehill,138418362-0
962,Made in America,Adelaide Cheel,923150140-2
963,Cut and Run (Inferno in diretta),Barbabas Fussie,447407776-8
964,Queen of the Damned,Sanders Irdale,431509350-5
965,Distant Thunder (Ashani Sanket),Laryssa de Courcey,829222725-3
966,Vital,Carissa Arnison,864687034-0
967,"Kindred, The",Von Ruos,711128787-8
968,Joanna,Payton Gritland,103767754-4
969,"Baby, the Rain Must Fall",Dennet Abethell,258268352-3
970,Tokyo Joe,Ricard Panniers,950534781-2
971,Secret Sunshine (Milyang),Rebbecca Reidie,323639942-2
972,"Acla, The Descent into Floristella (La discesa di Aclà a Floristella)",Candice Coviello,728871850-6
973,Hurry Sundown,Brose Bertomieu,381695803-6
974,"Satan Bug, The",Leora Fibbens,202938280-9
975,Family Business,Thedric Dumphy,167055392-2
976,No Man's Land,Kinnie Lemoir,033878140-4
977,"Glenn Miller Story, The",Gypsy Hartles,554743131-1
978,Juno and the Paycock,Kristoffer Tidbold,982809068-6
979,"Devil and Max Devlin, The",Robbie Yurlov,028165978-8
980,Reclaim,Jacklyn Drinkwater,709102723-X
981,"Loveless, The (Breakdown)",Shayna Simonett,613886740-8
982,Killing Lincoln,Caresse Cow,759850232-3
983,Medium Cool,Yetta Legge,813054292-7
984,Rescue Dawn,Reiko Poynser,533634824-4
985,"Flight of the Red Balloon (Voyage du ballon rouge, Le)",Mimi Hollingsby,815587589-X
986,Carancho,Francene Aartsen,160031474-0
987,Ecstasy (Éxtasis),Derk Norway,623752562-9
988,Fruitvale Station,Allegra Abrahamsen,348941049-1
989,Scatter My Ashes at Bergdorf's,Margie McCart,832169641-4
990,6 Bullets,Rozele Mocquer,400345623-8
991,"Guardian, The",Felita Scotts,236145241-3
992,Chain of Fools,Tandie Wooffitt,296395780-7
993,Varan the Unbelievable,Artemas Beuscher,800438326-2
994,Symmetry (Symetria),Shaylynn Chastaing,065469838-4
995,Glue,Saree Sussams,234179941-8
996,"Strawberry Blonde, The",Arnold Doneld,363781856-6
997,7 Faces of Dr. Lao,Fairleigh Giabucci,017881717-1
998,Strange Invaders,Erminie Ferguson,617452655-0
999,"Honeymoon Killers, The",Alvira Swindin,274601427-0
1000,Shout,Willy Connolly,415144762-8
